_id,age,Aggregated_Date,BMNH,By Catch,CBRU,Comb_other_ref,Comment,Common Name ,Condition,Count,Country Code,County,Date,Day_val,Entered,Fam_Genus,GRef Source,Grid ref,in Collections,JBaker,Latitude,Length Approx,Length et,Length Imp,Length Imp_,Length_Approx,Length_Met,lett,Location,Longitude,Mass_Single,MCS,Month_val,Old County,Other,Other refs,Rect_CoNAord_,Rep_Source,S_W_No,S_W_No_,Scientific Name ,Scientific name ,sequ,Sex,Spec_No,Spec_No_,species,Updated,year,Year_val
7286,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3863,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2027,,melaena,23-Dec-08,1950,1950
8199,NA,19711028,ZK0085,NA,NA,NA,Common Porpoise,Harbour porpoise,dead,2419,1,Essex,28/10/1971,28,02-Nov-90,Phocoena,NA,TM25012101,lower jaw,NA,51.84183223,No,1.04,3'5'',,,,NA,Walton-on-the-Naze,1.26684756,S,ZK0085,10,NA,NA,NA,62501022101,NA,1971/19,,Phocoena phocoena,,19,M,2940,,phocoena,23-Dec-08,1971,1971
7007,NA,19470904,ZK0149,NA,NA,NA,Unidentified Cetaceans,NA,decayed,2996,3,"Pembrokeshire, Wales",04/09/1947,4,02-Nov-90,cetacean,NA,SR991950,NA,NA,51.6182,NA,NA,NA,,,,NA,"Barafundle Bay, St Govans",-4.9028,S,ZK0039,9,NA,NA,NA,NA,NA,1947/19,,NA,,19,NA,1748,,sp.indet.,23-Dec-08,1947,1947
7330,NA,19500522,ZK0048,NA,NA,NA,Common dolphin,Common dolphin,NA,819,2,"Inverness-shire, Scotland",22/05/1950,22,02-Nov-90,Delphinus,NA,NF754672,NA,NA,57.5781,No,1.52,5',,,,NA,"Bay Head, North Uist, Outer Hebrides",-7.4324,M,ZK0048,5,NA,NA,NA,NA,NA,1950/11,,Delphinus delphis,,11,NA,2071,,delphis,23-Dec-08,1950,1950
8196,NA,19710910,ZK0085,NA,NA,NA,Common Porpoise,Harbour porpoise,decayed,3911,2,"Aberdeenshire, Scotland",10/09/1971,10,02-Nov-90,Phocoena,NA,NK03002800,NA,NA,57.34271165,NA,NA,NA,,,,NA,Collieston,-1.950151638,M,ZK0085,9,NA,NA,NA,40300082800,NA,1971/15,,Phocoena phocoena,,15,NA,2937,,phocoena,23-Dec-08,1971,1971
7288,NA,19500513,ZK0079,NA,NA,NA,Long-finned Pilot Whale,Long-finned pilot whale,NA,3865,2,"East Lothian, Scotland",13/05/1950,13,02-Nov-90,Globicephala,NA,NT754742,NA,NA,55.9608,NA,NA,NA,,,,NA,"Thorntonloch, 4 miles S. of Dunbar",-2.3946,M,ZK0079,5,NA,NA,NA,NA,NA,1950/7,,Globicephala melas,,7,NA,2029,,melaena,23-Dec-08,1950,1950
8206,NA,19720207,ZK0059,NA,NA,NA,White-beaked Dolphin,White-beaked dolphin,NA,175,1,Lincolnshire,07/02/1972,7,02-Nov-90,Lagenorhynchus,NA,TF47018800,NA,NA,53.36812165,No,2.92,9'7'',,,,NA,Theddlethorpe,0.209778737,S,ZK0059,2,NA,NA,NA,54701038800,NA,1972/5,,Lagenorhynchus albirostris,,5,M,2947,,albirostris,23-Dec-08,1972,1972
7008,NA,19470905,ZK0053,NA,NA,NA,Bottle-nosed Dolphin,Bottlenose dolphin,NA,2758,1,Kent,05/09/1947,5,02-Nov-90,Tursiops,BMNH,TR22506950,NA,NA,51.38037205,No,3.3,10'10'',,,,NA,"Reculver, nr. Herne Bay",1.197773068,S,ZK0053,9,NA,NA,NA,62250016950,NA,1947/20,,Tursiops truncatus,,20,F,1749,,truncatus,23-Dec-08,1947,1947
7331,NA,19500522,ZK0048,NA,NA,NA,a)Common dolphin,Common dolphin,NA,820,2,"Inverness-shire, Scotland",22/05/1950,22,02-Nov-90,Delphinus,NA,NF754672,NA,NA,57.5781,NA,NA,NA,,,,NA,"Bay Head, North Uist, Outer Hebrides",-7.4324,M,ZK0048,5,NA,NA,NA,NA,NA,1950/11,,Delphinus delphis,,11,NA,2072,,delphis,23-Dec-08,1950,1950
8201,NA,1971114-5,ZK0074,NA,NA,NA,Risso's Dolphin,Risso's dolphin,dead,1053,2,"Inverness-shire, Scotland",NA,4,02-Nov-90,Grampus,NA,NF78777528,'part lower jaw+',NA,57.65273373,No,2.73,8'11.5'',,,,NA,"Carnach, North Uist, Outer Hebrides",-7.38642832,S,ZK0074,11,NA,NA,NA,7877087528,NA,1971/21,,Grampus griseus,,21,F,2942,,griseus,23-Dec-08,1971,1971
